keyword,asin,url,ad,title,price,real_price,rating,prime_available
shirts,B0BHW7NN5J,https://www.amazon.in/Peter-England-Mens-Shirt-PESFOSLPH99085_Pink/dp/B0BHW7NN5J/ref=sr_1_62,False,Men's Everyday Solid Slim Fit Full Sleeve Formal Shirt | Cotton-Rich,699,"₹1,399",3.9 out of 5 stars,True
shirts,B0CG9Q4W63,https://www.amazon.in/Peter-England-Mens-Shirt-PESFOSLPE05206_Green/dp/B0CG9Q4W63/ref=sr_1_63,False,Men's Micro-Checkered Formal Slim Fit Full Sleeve Shirt | Cotton Rich,"1,009","₹1,799",4.1 out of 5 stars,False
shirts,B0C1SWLXTK,https://www.amazon.in/Arrow-Maroon-Formal-Shirt-ARCBOSH0018_40/dp/B0C1SWLXTK/ref=sr_1_64,False,Men's Solid Full Sleeve Slim Fit Cutaway Collar Satin Formal Shirt,"1,309","₹2,199",4.0 out of 5 stars,True
shirts,B0B5YFSWNH,https://www.amazon.in/Van-Heusen-Mens-Shirt-VHSFRSLBH77427_Maroon/dp/B0B5YFSWNH/ref=sr_1_65,False,Men's Cotton Solid Slim Fit Shirt,999,"₹1,999",3.8 out of 5 stars,False
shirts,B0D5HRHVTV,https://www.amazon.in/Louis-Philippe-Mens-Shirt-LRSFNSLP141276_Olive/dp/B0D5HRHVTV/ref=sr_1_66,False,Men's Over Dyed Solid Premium Slim fit Casual Shirt with Washed Look & Soft Hand Feel,"1,139","₹1,999",3.8 out of 5 stars,False
shirts,B0BZPG23R7,https://www.amazon.in/Indian-Garage-Co-Shirt-1121-SHPO131-11_Lilac/dp/B0BZPG23R7/ref=sr_1_67,False,Men's Cotton Regular Fit Solid Full Sleeves Spread Collar Casual Shirt,542,"₹1,749",3.7 out of 5 stars,True
shirts,B0F1N96GXJ,https://www.amazon.in/Louis-Philippe-Solid-Shirt-LRSHNSLBF79013_Black/dp/B0F1N96GXJ/ref=sr_1_68,False,Men's Cotton Solid Slim Fit Shirt,"1,479","₹2,599",5.0 out of 5 stars,True
shirts,B0CLZYQJDY,https://www.amazon.in/GRECIILOOKS-Solid-Regular-Shirt-GL-MS-6130_Beige/dp/B0CLZYQJDY/ref=sr_1_69,False,Shirt for Men | Man Stylish | Printed | Men's Regular Fit Mens Casual | Formal | Man's Solid Slim Fit | Half Sleeve | Summer Outdoor Activities | Textured (Available in Plus Size and Combo Pack of 2),399,"₹2,299",4.0 out of 5 stars,False
shirts,B0CVS6554X,https://www.amazon.in/Peter-England-Mens-Shirt-PESFWNUBR90481_Pink/dp/B0CVS6554X/ref=sr_1_70,False,Men's Everday Regular Fit Solid Shirt | Cotton Rich | 5-Pin Pocketing,789,"₹1,399",4.1 out of 5 stars,True
shirts,B0DXL3CQ73,https://www.amazon.in/Louis-Philippe-Mens-Shirt-LYSFCSLBV77793_White/dp/B0DXL3CQ73/ref=sr_1_71,False,Men's Easy to Care Cotton Slim fit Striped Casual Shirt with Natural Stretch,"1,344
.","₹2,499",3.3 out of 5 stars,True
shirts,B0D9MBZCD1,https://www.amazon.in/CVC-Regular-Sleeve-Satin-Shirt/dp/B0D9MBZCD1/ref=sr_1_72,False,Men's Regular Fit Full Sleeve Poly Satin Silk Shirt,699,"₹3,199",3.7 out of 5 stars,True
shirts,B0DBLF7DRV,https://www.amazon.in/IndoPrimo-Stylish-Casual-Sleeve-Regular/dp/B0DBLF7DRV/ref=sr_1_73,False,Men's Stylish Solid Satin Casual Shirt for Men Full Sleeve,499,₹999,4.1 out of 5 stars,True
shirts,B09L8GV2SB,https://www.amazon.in/Peter-England-Regular-Shirt-PESFONUB236782_White/dp/B09L8GV2SB/ref=sr_1_74,False,Men's Solid Regular Fit Shirt,929,"₹1,199",4.1 out of 5 stars,False
shirts,B0DKCYCJKX,https://www.amazon.in/Majestic-Man-Comfort-Checked-Regular/dp/B0DKCYCJKX/ref=sr_1_75,False,Men's Comfort Slim Fit Pure Cotton Opaque Checked Casual Shirt,499,"₹1,499",3.9 out of 5 stars,True
shirts,B0CXMBTK64,https://www.amazon.in/GRECIILOOKS-Crochet-Shirt-Men-GL-MS-6162-M-BLACK/dp/B0CXMBTK64/ref=sr_1_76,False,Shirt for Men | Mens Casual Shirt | Men Stylish Shirt | Men Crochet Shirt | Men's Regular Fit | Men Formal Shirt | Men's Solid Slim Fit,499,"₹1,999",4.1 out of 5 stars,True
shirts,B0F13XXJPT,https://www.amazon.in/Allen-Solly-Striped-Shirt-ASSFQSPPN85500_Maroon/dp/B0F13XXJPT/ref=sr_1_77,False,Men's Cotton Classic Fit Stripe Formal Shirt,989,"₹1,849",4.2 out of 5 stars,False
shirts,B0CX8V37N9,https://www.amazon.in/Peter-England-Regular-Shirt-PESFWNUPI62906_Grey/dp/B0CX8V37N9/ref=sr_1_78,False,Men's Regular Fit Full Sleeve Striped Formal Shirt | Cotton Rich | Wonder Fabric | Premium Dobby Weave,899,"₹1,599",4.0 out of 5 stars,False
shirts,B0CVXR16HQ,https://www.amazon.in/Lux-Cozi-Sleeve-T-Shirt-Pocket_COZI_2122_OXBLU_XL_1PC/dp/B0CVXR16HQ/ref=sr_1_79,False,Men's Half Sleeve Soild Casual Regular Fit T-Shirt with Chest Pocket | Polo Tshirt for Men,359,₹395,3.9 out of 5 stars,False
shirts,B0B2183N6C,https://www.amazon.in/Miraan-Sleeve-Casual-Light-blue-SIGLIGHTDENIML/dp/B0B2183N6C/ref=sr_1_80,False,Men's Cotton Regular Fit Casual Denim Shirt (SIGDENIMM),655,"₹2,715",3.7 out of 5 stars,True
shirts,B0D5M1YB4Y,https://www.amazon.in/Louis-Philippe-Classic-Shirt-LPSFMCLPJ11048_Grey/dp/B0D5M1YB4Y/ref=sr_1_81,False,Men's Cotton Regular Fit Solid All Day Comfort Effortless Ironing Shirt,"1,429","₹2,499",3.6 out of 5 stars,True
shirts,B0DGV3CQVC,https://www.amazon.in/Raymond-Pattern-Cotton-Cutaway-Collar/dp/B0DGV3CQVC/ref=sr_1_82,False,Slim Fit Pure Cotton Solid Pattern Semi Cut Away Collar Formal Shirt,877,"₹2,199",4.4 out of 5 stars,True
shirts,B0DXCX36NV,https://www.amazon.in/NexaFlair-Summer-Regular-Stylish-Everyday-Regular/dp/B0DXCX36NV/ref=sr_1_83,False,Men's Solid Linen Cotton Shirt | Casual | Plain | Full Sleeve | Summer-Regular Fit| Men Stylish Shirt | Everyday Formal Wear,474,"₹1,999",2.6 out of 5 stars,True
shirts,B0BD7N7915,https://www.amazon.in/Van-Heusen-Sport-Shirt-VSSFWSLBA41477_Teal/dp/B0BD7N7915/ref=sr_1_84,False,Solid Casual Shirt for Men| Premium Cotton| Full Sleeves| Regular Fit |Breathable Fabric |,"1,199","₹1,999",3.9 out of 5 stars,True
shirts,B0BY6K58B2,https://www.amazon.in/U-TURN-Stylish-Printed-Striped-LightGreen/dp/B0BY6K58B2/ref=sr_1_85,False,U-Turn Casual Shirt for Men || Shirt for Men Latest Stylish || Men Stylish Shirt || Men Printed Striped Shirt,398,"₹1,699",3.7 out of 5 stars,False
shirts,B0CQK67HKR,https://www.amazon.in/Van-Heusen-Regular-Shirt-VHSFBCUB805755_White/dp/B0CQK67HKR/ref=sr_1_86,False,Men's Cotton Regular Fit Shirt,"1,959","₹2,799",4.7 out of 5 stars,True
shirts,B0C27VW25W,https://www.amazon.in/Peter-England-Mens-Shirt-PCSFSSLPK94400_Navy/dp/B0C27VW25W/ref=sr_1_87,False,Men's Slim Fit Full Sleeve Checkered Casual Shirt | 100% Cotton | Premium Twill Weave,989,"₹1,799",4.0 out of 5 stars,True
shirts,B0C7LDC9L5,https://www.amazon.in/BE-ACTIVE-Geometric-Regular-CPR0156_Oceanic/dp/B0C7LDC9L5/ref=sr_1_88,False,Men's Solid Slim Fit Cotton Casual Shirt || Men Stylish Shirt || Spread Collar & Full Sleeves,789,"₹2,499",3.3 out of 5 stars,True
shirts,B0CRDBSQSR,https://www.amazon.in/Lymio-Casual-Shirt-Stylish-D-Crush-16-23/dp/B0CRDBSQSR/ref=sr_1_89,False,Casual Regular Fit Shirt for Men|| Regular Fit Shirt for Men|| Men Stylish Regular Fit Shirt (D-Crush 16-23),399,"₹3,999",3.6 out of 5 stars,False
shirts,B0CRHPNV9D,https://www.amazon.in/Peter-England-Regular-Shirt-PESHONUPM22107_Maroon/dp/B0CRHPNV9D/ref=sr_1_90,False,Men's Cotton Regular Fit Shirt,966,"₹1,799",4.0 out of 5 stars,True
shirts,B0CW3JJDVN,https://www.amazon.in/Peter-England-Regular-Shirt-PESFWNUPB06363_Navy_40/dp/B0CW3JJDVN/ref=sr_1_91,False,Men's Premium Solid Herringbone Regular Fit Full Sleeve Formal Shirt | Wonder Fabric | Cotton Rich,899,"₹1,599",3.9 out of 5 stars,True
shirts,B07DMRP323,https://www.amazon.in/Allen-Solly-Casual-ASSFWMOFX67262_Sky-Blue_42/dp/B07DMRP323/ref=sr_1_92,False,Men's 100% Cotton Slim Fit Shirt,879,"₹1,399",3.9 out of 5 stars,False
shirts,B0CN9MFSM5,https://www.amazon.in/Levis-Spread-Collar-Checked-Shirts/dp/B0CN9MFSM5/ref=sr_1_93,False,Men's Cotton Slim Fit Shirt,"1,403","₹2,699",4.0 out of 5 stars,True
shirts,B09P31SYSJ,https://www.amazon.in/Peter-England-Regular-Shirt-PESFONUB411436_Purple/dp/B09P31SYSJ/ref=sr_1_94,False,Men's Cotton Regular Fit Shirt,"1,199",NA,4.0 out of 5 stars,True
shirts,B09NMLXQGH,https://www.amazon.in/Peter-England-Regular-Shirt-PESFONUBJ22893_Green/dp/B09NMLXQGH/ref=sr_1_95,False,Men's Cotton Regular Fit Shirt,"1,199",NA,4.0 out of 5 stars,True
shirts,B07CZ5MWCP,https://www.amazon.in/Amazon-Brand-Symbol-Regular-AW-SY-MCS-1127_White_Large/dp/B07CZ5MWCP/ref=sr_1_96,False,Men's Cotton Shirt | Casual | Plain | Full Sleeve | Summer - Regular Fit (Available in Plus Size and Combo Packs),549,"₹1,499",3.8 out of 5 stars,True
